#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
#label: shortlabel of the galaxy/knot
#line_lab: label of the line the code was asked to fit
#obs_wav: observed frame wavelength of the line (A)
#rest_wave: rest frame wavelength of the line (A)
#type: is it emission or ism etc.
#EWr_fit: eqv width as calculated from the Gaussian fit to the line (A)
#EWr__fit_u: error in above qty. (A)
#EWr_sum: eqv width as calculated by summing the flux (A)
#EWr_sum_u: error in above qty. (A)
#f_line: flux i.e. area under Gaussian fit (erg/s/cm^2)
#f_line_u: error in above qty. (erg/s/cm^2)
#med_bin_flux: median of binned fluxes. Each bin is +/-2 sigma wide. There are 5 bins on either side of a group of line asked to be fit, beyond the +/-5 sigma window. This is to take into account the wiggles in the spectrum
#mad_bin_flux: median absolute deviation of the above binned fluxes
#MAD_significance: (f_line - med_bin_flux)/mad_bin_flux. Probably should NOT be USED anymore
#EW_3sig_lim_Schneider: 3sigma upper limit for unresolved OR detection criteria for resolved EWs, as determined using Schneider et al. 1993 prescription
#EW_significance: ratio of EWr_fit to (EW_3sig_lim_Schneider/3). Probably use this for SIGNIFICANCE
#fit_cont: continuum, as from the fit (continuum normalised fit)
#fit_fl: amplitude, as from the fit (continuum normalised fit)
#fit_cen: center, as from the fit (continuum normalised fit)
#fit_cen_u: error in above qty. (A)
#fit_sig: sigma, as from the fit (A)
#zz: Corrected redshift of this line, from the fitted center
#zz_u: error in above qty.
#NaN means the code was unable to fit the line.
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	med_bin_flux	mad_bin_flux	MAD_significance	EW_3sig_lim_Schneider	fit_cont	fit_fl	fit_cen	fit_cen_u	fit_sig	zz	zz_u	EW_significance	f_SNR
rcs0327-U	CIII1296	3505.2504	1296.33	PHOTOSPHERE	0.1776	0.2431	0.2441	0.2918	-3.2174e-18	4.4031e-18	8.8714e-18	5.106e-18	2.3676	0.3362	1.0	-0.3399	3504.1176	0.5817	0.5636	1.7031	0.0004	1.58477096966	0.73071245259
rcs0327-U	SiIII1296	3506.359	1296.74	PHOTOSPHERE	0.0765	0.2468	0.2064	0.2937	-1.3862e-18	4.4701e-18	8.8714e-18	5.106e-18	2.0089	0.3316	1.0	-0.1464	3506.1797	1.3782	0.5638	1.7038	0.0011	0.692098914355	0.310104919353
rcs0327-U	SiIII1298	3512.2807	1298.93	PHOTOSPHERE	0.7562	0.3638	0.7466	0.294	-1.3684e-17	6.584e-18	8.8714e-18	5.106e-18	4.4173	0.3341	1.0	-0.5469	3515.3202	0.5401	1.4915	1.7063	0.0004	6.79018258007	2.07837181045
rcs0327-U	CII1323	3579.8802	1323.93	PHOTOSPHERE	0.5828	0.3204	0.8402	0.2179	-1.0348e-17	5.6891e-18	-3.7743e-18	6.5126e-18	1.0094	0.2479	1.0	-0.4135	3577.4181	0.6258	1.5202	1.7021	0.0005	7.05284388866	1.81891687613
rcs0327-U	NIII1324	3581.0159	1324.35	PHOTOSPHERE	0.2342	0.2977	0.8437	0.2165	-4.1457e-18	5.268e-18	-3.7743e-18	6.5126e-18	0.057025	0.2396	1.0	-0.1662	3582.7516	1.5125	1.5207	1.7053	0.0011	2.93238731219	0.786958997722
rcs0327-U	SiIII1417	3832.1886	1417.24	PHOTOSPHERE	0.0712	0.1391	-0.0985	0.1796	-1.171e-18	2.2891e-18	-4.154e-18	4.3444e-18	-0.68665	0.2154	1.0	-0.1246	3833.8491	0.9059	0.6162	1.7052	0.0006	0.991643454039	0.511554759512
rcs0327-U	SV1501	4060.729	1501.76	PHOTOSPHERE	0.1018	0.1162	0.0863	0.1549	-1.5924e-18	1.8174e-18	-8.8119e-20	2.1584e-18	0.69695	0.1765	1.0	-0.1682	4060.4526	0.5614	0.6529	1.7038	0.0004	1.73031161473	0.876196764609
rcs0327-U	CIII1620	4381.5292	1620.4	PHOTOSPHERE	0.3264	0.1396	0.0697	0.1244	-4.7966e-18	2.0516e-18	-4.7877e-18	4.5431e-18	0.0019528	0.1411	1.0	-0.2182	4383.5645	0.5164	1.6132	1.7052	0.0003	6.93975903614	2.33798011308
rcs0327-U	FeIV1717	4645.1551	1717.8955	PHOTOSPHERE	0.2127	0.1245	0.2205	0.1257	-2.9668e-18	1.7362e-18	-1.7341e-18	1.5812e-18	0.77961	0.1392	1.0	-0.2666	4646.0672	0.3946	0.8608	1.7045	0.0002	4.58405172414	1.70878930999
rcs0327-U	NIV1718	4646.9248	1718.55	PHOTOSPHERE	0.1301	0.1115	0.268	0.1254	-1.814e-18	1.5535e-18	-1.7341e-18	1.5812e-18	0.050551	0.1386	1.0	-0.1879	4648.7026	0.5247	0.7472	1.705	0.0003	2.81601731602	1.16768587061
rcs0327-U	FeIII1954	5285.2263	1954.61	PHOTOSPHERE	0.112	0.1001	0.2408	0.1236	-1.4016e-18	1.2527e-18	-5.4498e-19	1.9752e-18	0.43367	0.1383	1.0	-0.1171	5284.4658	0.6958	1.0321	1.7036	0.0004	2.4295010846	1.11886325537
rcs0327-U	FeIII1958	5295.9882	1958.59	PHOTOSPHERE	0.0886	0.094	0.2135	0.1255	-1.1062e-18	1.1732e-18	-5.4498e-19	1.9752e-18	0.28415	0.1408	1.0	-0.1123	5297.0724	0.6839	0.8516	1.7045	0.0003	1.88778409091	0.942891237641
rcs0327-U	CIII2297	6212.6104	2297.58	PHOTOSPHERE	0.1587	0.1038	-0.0751	0.1394	-1.5879e-18	1.039e-18	1.7277e-18	2.6372e-18	1.2572	0.1577	1.0	-0.1713	6213.0685	0.4942	0.999	1.7042	0.0002	3.01902346227	1.52829643888
S0004-0103	CIII1247	3344.7372	1247.38	PHOTOSPHERE	0.1611	0.1486	-0.2233	0.1947	-5.4525e-18	5.03e-18	-8.8231e-20	5.4901e-18	0.97707	0.2179	1.0	-0.295	3344.4113	0.4075	0.584	1.6811	0.0003	2.21798990363	1.08399602386
S0004-0103	SiIII1294	3471.1925	1294.54	PHOTOSPHERE	0.1421	0.9496	0.2035	0.1043	-5.402e-18	3.6109e-17	3.6722e-18	4.1462e-18	2.1886	0.1136	1.0	-0.1031	3471.6172	12.4087	1.4741	1.6817	0.0096	3.75264084507	0.149602592152
S0004-0103	CIII1296	3475.9922	1296.33	PHOTOSPHERE	0.1251	1.1677	0.4319	0.1077	-4.7631e-18	4.4467e-17	3.6722e-18	4.1462e-18	2.0345	0.1111	1.0	-0.0977	3474.4755	9.1644	1.3696	1.6802	0.0071	3.37803780378	0.10711538894
S0004-0103	SiIII1296	3477.0916	1296.74	PHOTOSPHERE	0.0602	0.2821	0.4738	0.1105	-2.2948e-18	1.0756e-17	3.6722e-18	4.1462e-18	1.4391	0.112	1.0	-0.106	3476.6444	0.8719	0.6071	1.6811	0.0007	1.6125	0.213350687988
S0004-0103	SiIII1298	3482.9639	1298.93	PHOTOSPHERE	0.5328	0.1418	1.046	0.1196	-2.0392e-17	5.4283e-18	3.6722e-18	4.1462e-18	5.804	0.1394	1.0	-0.3854	3484.4836	0.3013	1.4791	1.6826	0.0002	11.4662840746	3.75660888308
S0004-0103	CII1323	3549.9991	1323.93	PHOTOSPHERE	0.0	479.2873	-0.2947	0.1226	-8.2933e-27	1.8524e-14	-1.2233e-17	1.3958e-17	-0.87643	0.1309	1.0	-0.0	3550.4254	58807266485.1	0.6205	1.6817	44418712.8361	0.0	4.47705679119e-13
S0004-0103	NIII1324	3551.1253	1324.35	PHOTOSPHERE	0.0984	478.1982	-0.3231	0.1202	-3.803e-18	1.8482e-14	-1.2233e-17	1.3958e-17	-0.60397	0.1312	1.0	-0.1698	3550.4902	211.5524	0.6201	1.6809	0.1597	2.25	0.00020576777405
S0004-0103	OIV1341	3597.4869	1341.64	PHOTOSPHERE	0.2639	0.095	0.5435	0.0807	-1.0195e-17	3.6704e-18	-5.2499e-18	1.7623e-17	0.28062	0.0897	1.0	-0.1848	3599.0566	0.4168	1.5277	1.6826	0.0003	8.82608695652	2.77762641674
S0004-0103	SiIII1417	3800.2015	1417.24	PHOTOSPHERE	0.2208	0.0795	0.1846	0.0683	-8.6748e-18	3.1235e-18	-2.8638e-18	3.1104e-18	1.8683	0.0721	1.0	-0.1464	3800.342	0.4445	1.6138	1.6815	0.0003	9.18723994452	2.77726908916
