#This file contains the measurements of lines in the MagE sample. Generated by EW_fitter.py.
#Columns are:
#label: shortlabel of the galaxy/knot
#line_lab: label of the line the code was asked to fit
#obs_wav: observed frame wavelength of the line (A)
#rest_wave: rest frame wavelength of the line (A)
#type: is it emission or ism etc.
#EWr_fit: eqv width as calculated from the Gaussian fit to the line (A)
#EWr__fit_u: error in above qty. (A)
#EWr_sum: eqv width as calculated by summing the flux (A)
#EWr_sum_u: error in above qty. (A)
#f_line: flux i.e. area under Gaussian fit (erg/s/cm^2)
#f_line_u: error in above qty. (erg/s/cm^2)
#med_bin_flux: median of binned fluxes. Each bin is +/-2 sigma wide. There are 5 bins on either side of a group of line asked to be fit, beyond the +/-5 sigma window. This is to take into account the wiggles in the spectrum
#mad_bin_flux: median absolute deviation of the above binned fluxes
#MAD_significance: (f_line - med_bin_flux)/mad_bin_flux. Probably should NOT be USED anymore
#EW_3sig_lim_Schneider: 3sigma upper limit for unresolved OR detection criteria for resolved EWs, as determined using Schneider et al. 1993 prescription
#EW_significance: ratio of EWr_fit to (EW_3sig_lim_Schneider/3). Probably use this for SIGNIFICANCE
#fit_cont: continuum, as from the fit (continuum normalised fit)
#fit_fl: amplitude, as from the fit (continuum normalised fit)
#fit_cen: center, as from the fit (continuum normalised fit)
#fit_cen_u: error in above qty. (A)
#fit_sig: sigma, as from the fit (A)
#zz: Corrected redshift of this line, from the fitted center
#zz_u: error in above qty.
#NaN means the code was unable to fit the line.
#
label	line_lab	obs_wav	rest_wave	type	EWr_fit	EWr_fit_u	EWr_sum	EWr_sum_u	f_line	f_line_u	med_bin_flux	mad_bin_flux	MAD_significance	EW_3sig_lim_Schneider	fit_cont	fit_fl	fit_cen	fit_cen_u	fit_sig	zz	zz_u	EW_significance	f_SNR
rcs0327-E	NII]2140	5785.276	2140.0	EMISSION	-0.0746	0.1245	-0.0726	0.0906	9.3808e-19	1.5653e-18	-6.0208e-19	1.4671e-18	1.0498	-0.1084	1.0	0.0328	5786.1748	3.0955	2.4568	1.7038	0.0014	2.06457564576	0.599297259311
rcs0327-E	OIII2320	6276.3865	2321.664	EMISSION	-0.1718	0.1097	-0.2537	0.0931	1.9335e-18	1.2352e-18	-4.3326e-19	4.0311e-18	0.58713	-0.1064	1.0	0.1167	6276.1452	0.7522	1.5877	1.7033	0.0003	4.84398496241	1.56533354922
rcs0327-E	CII2323	6283.2801	2324.214	EMISSION	-0.0931	783.4228	-0.1476	0.0684	1.0465e-18	8.8039e-15	-4.3326e-19	4.0311e-18	0.36708	-0.1119	1.0	0.1238	6282.7719	2642.9631	0.8113	1.7032	1.1371	2.49597855228	0.000118867774509
rcs0327-E	CII2325b	6286.4945	2325.403	EMISSION	-0.0165	2130802.2492	-0.0114	0.0517	1.8378e-19	2.3704e-11	-4.3326e-19	4.0311e-18	0.15307	-0.1119	1.0	0.0124	6286.5142	87728007.8072	1.4368	1.7034	37725.9373	0.44235924933	7.75312183598e-09
rcs0327-E	CII2325c	6288.4139	2326.113	EMISSION	-0.0029	13672758.4208	0.0026	0.0387	3.1815e-20	1.521e-10	-4.3326e-19	4.0311e-18	0.11537	-0.1119	1.0	0.0021	6288.414	3323313538.66	1.4622	1.7034	1428698.2355	0.0777479892761	2.09171597633e-10
rcs0327-E	CII2325d	6292.5555	2327.645	EMISSION	-0.0027	0.0	0.0	0.0	3.0454e-20	0.0	-4.3326e-19	4.0311e-18	0.11503	-0.1119	1.0	0.002	6292.5555	1796821.6828	1.4634	1.7034	771.9483	0.0723860589812	inf
rcs0327-E	CII2328	6295.7806	2328.838	EMISSION	-0.0027	0.0	0.0	0.0	3.0469e-20	0.0	-4.3326e-19	4.0311e-18	0.11504	-0.1119	1.0	0.002	6295.7806	0.0	1.4642	1.7034	0.0	0.0723860589812	inf
rcs0327-E	[OIII]2331	6301.8957	2331.1	EMISSION	-0.0027	0.0	0.0	0.0	3.0499e-20	0.0	-4.3326e-19	4.0311e-18	0.11504	-0.1119	1.0	0.002	6301.8957	0.0	1.4656	1.7034	0.0	0.0723860589812	inf
rcs0327-E	SiII2335a	6312.7715	2335.123	EMISSION	-0.0024	6280209.7944	0.038	0.1043	2.6213e-20	6.9863e-11	-4.3326e-19	4.0311e-18	0.11398	-0.1119	1.0	0.0017	6312.7709	1037595700.02	1.4666	1.7034	444343.0603	0.0643431635389	3.75205759844e-10
rcs0327-E	SiII2335b	6313.3068	2335.321	EMISSION	-0.0016	6745642.6665	0.038	0.1043	1.8185e-20	7.5041e-11	-4.3326e-19	4.0311e-18	0.11199	-0.1119	1.0	0.0012	6313.3051	1123468010.84	1.4647	1.7034	481076.4819	0.0428954423592	2.42334190642e-10
rcs0327-E	OII2470mid	6680.1744	2471.027	EMISSION	-0.9861	0.101	-1.2371	0.0996	1.0038e-17	1.028e-18	8.0486e-19	1.9463e-18	4.7436	-0.1018	1.0	0.7111	6680.1881	0.1155	1.4956	1.7034	0.0	29.0599214145	9.76459143969
rcs0327-G	CII1334	3606.3066	1334.5323	ISM	1.5392	0.1516	2.1318	0.1192	-3.6137e-17	3.5588e-18	1.7254e-18	5.1214e-18	7.3929	0.1233	1.0	-1.0835	3606.1136	0.112	1.5315	1.7022	0.0001	37.4501216545	10.1542654827
rcs0327-G	CII1335b	3611.4324	1335.663	FINESTR	-0.0	0.4191	1.018	0.1207	1.9283e-28	9.8519e-18	1.7254e-18	5.1214e-18	-0.3369	-0.1411	1.0	0.0	3611.6328	16943744852.1	1.5292	1.704	12685643.6482	0.0	1.95728742679e-11
rcs0327-G	CII1335c	3611.5541	1335.708	EMISSION	-0.2688	0.2734	0.9277	0.1216	6.3172e-18	6.4256e-18	1.7254e-18	5.1214e-18	0.89658	-0.1423	1.0	0.3618	3611.7544	0.2858	0.8014	1.704	0.0002	5.66690091356	0.98312998008
rcs0327-G	NIV]1486	4019.273	1486.5	EMISSION	-0.1927	0.1447	-0.2588	0.1214	4.0155e-18	3.0151e-18	3.0191e-19	4.7502e-18	0.78177	-0.1331	1.0	0.1218	4019.496	0.976	1.7068	1.704	0.0007	4.34335086401	1.33179662366
rcs0327-G	SiII1533	4146.168	1533.4312	FINESTR	-0.7519	0.1055	-0.8773	0.1054	1.4991e-17	2.1032e-18	-1.6713e-17	1.7219e-17	1.8413	-0.128	1.0	0.7148	4146.1559	0.1189	1.1346	1.7038	0.0001	17.62265625	7.12771015595
rcs0327-G	HeII1640	4435.4415	1640.417	EMISSION	-0.3862	0.1202	-0.6599	0.101	7.2682e-18	2.2616e-18	-2.3628e-18	4.2495e-18	2.2664	-0.1104	1.0	0.2212	4435.6674	0.4492	1.8836	1.704	0.0003	10.4945652174	3.2137424832
rcs0327-G	OIII]1660	4490.5784	1660.809	EMISSION	-0.0387	0.0771	0.1143	0.0999	7.1687e-19	1.4277e-18	1.6606e-18	4.8426e-18	-0.19488	-0.1107	1.0	0.0527	4490.3304	1.1936	0.7919	1.7037	0.0007	1.0487804878	0.502115290327
rcs0327-G	OIII1666	4505.0197	1666.15	EMISSION	-0.1682	0.1028	0.2367	0.1019	3.1059e-18	1.8985e-18	1.6606e-18	4.8426e-18	0.29846	-0.1178	1.0	0.1403	4504.7698	0.5955	1.2929	1.7037	0.0004	4.28353140917	1.63597577035
rcs0327-G	SiIII1882	5090.5573	1882.707	EMISSION	-0.3606	0.0967	-0.3571	0.0965	5.6198e-18	1.5077e-18	8.7582e-19	8.0523e-19	5.8915	-0.1105	1.0	0.2689	5090.7615	0.2933	1.4468	1.704	0.0002	9.79004524887	3.72739935
